"period","month","day","airline","src","dst","distance","SrcWeather","DstWeather","arrivalDelay"
"summer","August","Sunday","Royal Jordanian","Jordan","Israel","short","",,"on time"
"summer","August","Sunday","Aegean Airlines","Greece","Israel","short","",,"slight delay"
"summer","August","Sunday","Wizz Air","Austria","Israel","mid","",,"slight delay"
"summer","August","Sunday","LOT","Poland","Israel","mid","",,"slight delay"
"summer","August","Sunday","El Al","France","Israel","mid","",,"on time"
"summer","August","Sunday","AnadoluJet","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","Pegasus","Turkey","Israel","short","",,"slight delay"
"summer","August","Sunday","El Al","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Saturday","Etihad Airways","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Saturday","SunExpress (Eintracht Frankfurt Livery)","Turkey","Israel","short","",,"slight delay"
"summer","August","Saturday","ULS Airlines Cargo","Turkey","Israel","short","",,"on time"
"summer","August","Saturday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Saturday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Saturday","United Airlines","United States","Israel","long","",,"on time"
"summer","August","Saturday","Tus Airways","Italy","Israel","mid","",,"on time"
"summer","August","Saturday","Ryanair","Italy","Israel","mid","",,"on time"
"summer","August","Saturday","Ryanair","Belgium","Israel","mid","",,"heavy delay"
"summer","August","Saturday","Lufthansa","Germany","Israel","mid","",,"slight delay"
"summer","August","Saturday","Challenge Airlines","Norway","Israel","long","",,"on time"
"summer","August","Saturday","Air India","India","Israel","long","",,"on time"
"summer","August","Saturday","Wizz Air","Hungary","Israel","mid","",,"heavy delay"
